severity,magnitude_index,failure_locus,facility_des,facility_loc,latitude,longditude,accuracy,google_place_id,country,type,ore_type,dam_type,dam_fill_material,dam_height,storage_vol,ICOLD_type,ICOLD_key,ICOLD_cause,incident_year,indident_date,release_volume,runout_distance,deaths,sources,notes
2,,2,"Kokoya Gold Mine,MNG Gold Mining Ltd,Monrovia,Liberia Avesoro Holding","Kokoya Gold Mine,Monrovia,Liberia",6.3156068,-10.8073698,APPROXIMATE,ChIJwfyp1AP4CQ8Rr5SWBtdNbFs,LR,"locality,political",Au,CL,WR,,300000,1,A,ST,2017,09-Sep-2017,11356,,,frontpageafricaonline.com/news/liberia-investigation-into-cyanide-spillage-finds-mng-gold-liable-of-        http://thenewslib.com/mng-gold-contaminates-creek/polluting-bong-county/,failed to uphold international best practice in order to avert environmental pollution.failure of liner for CIL  cyanide tainted tailings
1,1.384017003,,"Vedanta Aluminium Limited Smelter Ash Pond, Jharsuguda, India","Vedanta Aluminium, Jharsuguda, India",21.8212911,84.0266559,GEOMETRIC_CENTER,ChIJ15gAc93jIDoR3H1k4Zpz6RQ,IN,"establishment,point_of_interest",Al,U,,,,1,A,U,2017,28-Aug-2017,2625000,,,telegraphindia.com/1170908/jsp/odisha/story_171460.jsp,115 acres of agricultural land had been covered by ash layered around 0.5 metres to 3 metres. The officials have also found evidence of severe water pollution in the Bheden river.
3,,2,"Husab, Namibia (Swakop Uranium (Taurus Minerals))","Husab, Namibia",-22.5880724,15.0187696,GEOMETRIC_CENTER,ChIJUx3d7kR_dhwRhs9h6mY4ziQ,NA,"establishment,point_of_interest",U,,,,,1,A,,2017,07-Jul-2017,,,0,namibian.com.na/166987/archive-read/Husab-tailings-facility-leaked-due-to-pump-failure,pump failure in commissioning caused overtopping initially denied by miner. Fully contained near perimter.  No release onto unlined area
3,0.000448158,2,"Highland Valley Copper, British Columbia, Canada ( Teck Resources)","Highland Valley Copper, British Columbia, Canada",50.4861832,-121.0427056,GEOMETRIC_CENTER,ChIJ7fjdrhu1gVQRIDJA2VhFGeQ,CA,"establishment,point_of_interest",Cu,,Oil,140,,1,A,,2017,08-Apr-2017,850,0,0,castanet.net/news/Kamloops/194524/225K-gallon-spill-at-mine; https://infotel.ca/newsitem/highland-valley-copper-tailings-water-leak-under-investigation/it41667,A 4.5-metre deep and six-metre wide trench down the face of the 140-metre high dam. Contaminated water collected ;water leak in pipe servicing TSF due to freezing.  No production interrution or interruption in use of faclity
2,0.56554497,1,"Mishor Rotem, Israel (ICL Rotem)","Mishor Rotem, Israel",31.0447222,35.1547222,APPROXIMATE,ChIJ8dcpAm5MAhURBYbI8x9tsBg,IL,"establishment,natural_feature",P,,,60,,1,A,SI,2017,30-Jun-2017,100000,20,,"Reuters 2Jul17,Bowker LN[25]","ICL reported that on June 30 a dike partially collapsed at Pool 3, used for "" accumulation"" of highly acidic waste water which ""surged through a dry Ashalim riverbed .. left a wake of ecological destruction more than 20 km (12 miles) long."""
,,3,"Husab, Namibia (Swakop Uranium (Taurus Minerals))","Husab, Namibia",-22.5880724,15.0187696,GEOMETRIC_CENTER,ChIJUx3d7kR_dhwRhs9h6mY4ziQ,NA,"establishment,point_of_interest",U,,,,,,,,2017,01-May-2017,,,,https://www.namibian.com.na/166987/archive-read/Husab-tailings-facility-leaked-due-to-pump-failure,pump failure in commissioning caused overtopping initially denied by miner. Fully contained near perimter.  release onto unlined area.
2,0.248306057,1,"Tonglvshan Mine, Hubei Province, China (China Daye Ltd.)","Tonglvshan Mine, Hubei Province, China",30.076091,114.944507,APPROXIMATE,ChIJI-0PuU5YLjQRqqustNRhubo,CN,"political,sublocality,sublocality_level_3","Cu,Au,Ag,Fe",,,,,1,A,,2017,12-Mar-2017,200000,,2,WISE,"A partial dam failure occurred "" which flooded a fish pond downstream of approx. 27 hectares. Two persons were reported dead and one was reported missing"" "
3,0.026362229,1,"Antamok, Baguio, Philippines (Benguet Corp.)","Antamok, Baguio, Philippines",16.4148792,120.6284848,GEOMETRIC_CENTER,EihBbnRhbW9rIFJkLCBCYWd1aW8sIEJlbmd1ZXQsIFBoaWxpcHBpbmVzIi4qLAoUChIJ1bAjEaSmkTMRXCMNvIBLNFkSFAoSCT_x3nlooZEzEcB1Or409d6O,PH,route,Au,,,,,2,B,ST,2016,28-Oct-2016,50000,,,"Antamok leak under control, Baguio Midland Courier Website, 6Nov16", tailings material leaked into Liang River during a  typhoon
,,1,Duke Energy Coal Ash Overt,,33.791638,-84.389488,ROOFTOP,ChIJz4_nc1oE9YgRxihstPqFSoM,US,"bar,establishment,food,point_of_interest,restaurant",Coal,,,,414938,1,B,OT,2016,01-Oct-2016,,,,ecowatch.com/coal-ash-duke-energy-2053607683.html,Duke Energy on Norway Sovereign Wealth Fund  blacklist for its history of severe environmental damage    http://etikkradet.no/files/2017/05/Rec-Duke-Eng-17486.pdf 
2,0.421795658,1,"New Wales plant, Mulberry, Polk County, Florida (Mosaic Co)","Mulberry, Polk County, Florida",27.8953038,-81.9734172,APPROXIMATE,ChIJ43Ly-0A73YgRM44ATtISxWI,US,"locality,political",P,,,,,1,U,U,2016,27-Aug-2016,800000,,,"WISE, WFLA.com","sinkhole appeared in a phosphogypsum stack, opening a pathway for contamined liquid into the underground.reached the Floridan Aquifer, a major drinking water resource."
