company_name,managing_company,business_unit,country,operation,latitude,longditude,status,start_date,operation_status_as_designed,raising_method,current_maximum,current_tailings,planned_tailings,last_review,full_records_available,failure_hazard,previous_instability,failure_impact_assessment
Anglo American,Anglo Operations,Coal SA,South Africa,Vryheid Coronation,-27.673,31.041,Closed,1960,Yes,Dry Stack,40,1.25,1.25,2012,Yes,Low,No,No
Anglo American,Anglo Operations,Coal SA,South Africa,Vryheid Coronation,-27.669,31.071667,Closed,1960,Yes,Dry Stack,36,1.7,1.7,2012,Yes,Low,No,No
Anglo American,Anglo Operations,Coal SA,South Africa,Vryheid Coronation,-27.6685,31.074667,Closed,1960,Yes,Dry Stack,20,3.75,3.75,2012,Yes,Low,No,No
Anglo American,Anglo Operations,Coal SA,South Africa,Natal Anthracite,-27.805167,31.103333,Closed,1960,Yes,Dry Stack,42,0.7,0.7,2012,Yes,Low,No,No
Anglo American,Anglo Operations,Coal SA,South Africa,Ingagane Colliery,-27.870333,30.0405,Closed,1960,Yes,Dry Stack,18,0.51,0.51,2012,Yes,Low,No,No
Anglo American,Anglo Operations,Coal SA,South Africa,Ingagane Colliery,-27.867333,30.038833,Closed,1960,Yes,Dry Stack,8,0.1,0.1,2012,Yes,Low,No,No
Anglo American,Anglo Operations,Coal SA,South Africa,Middelburg Steam & Station,-25.852333,29.19,Inactive,1998,No,Dry Stack,10,0.2,0.2,2011,No,High,No,No
Anglo American,Anglo Operations,Coal SA,South Africa,Middelburg Steam & Station,-25.853667,29.186167,Inactive,1998,No,Dry Stack,20,0.4,0.4,2011,No,High,No,No
Anglo American,Rustenburg Platinum,Platinum,South Africa,Amandelbult,-24.80972,27.34895,Active,1976,Yes,Upstream,49,103,138.5,2018,No,High,Yes,No
Anglo American,Rustenburg Platinum,Platinum,South Africa,Mogalakwena,-23.95692,28.9394,Active,2011,Yes,Downstream,56.8,37.5 63.4,,2016,Yes,High,No,No
Anglo American,Rustenburg Platinum,Platinum,South Africa,Mogalakwena,-23.98747,28.92651,Active,1992,No,Upstream,47.9,69.5m,79.6m,2016,Yes,High,Yes,Yes
Anglo American,Rustenburg Platinum,Platinum,South Africa,Mototolo,-25.01605,30.11316,Active,2006,Yes,Upstream,58,14,Planned closure in,2018,Yes,High,Yes,Yes
Anglo American,Rustenburg Platinum,Platinum,South Africa,Mototolo,-25.01143,30.14734,Active,2018,Yes,Upstream,4,",076",5.55,2018,Yes,High,No,Yes
Anglo American,Unki Mines,Platinum,Zimbabwe,Unki,-19.62417,30.07222,Active,2010,No,Hybrid,24,7.9,14.7,2017,No,High,Yes,Yes
Anglo American,Rustenburg Platinum,Platinum,South Africa,Polokwane Smelter,-24.033458,29.4659,Active,2003,Yes,Dry stack,38,3.3,5,2018,Yes,Low,No,
Anglo American,Rustenburg Platinum,Platinum,South Africa,Mortimer Smelter,-24.968333,27.144167,Active,1973,Yes,Dry stack,28,1.6,1.8,2016,Yes,Low,No,Yes
Anglo American,Unki Mines,Platinum,Zimbabwe,Unki,-19.613694,30.097567,Active,2018,Yes,Dry stack,2018,0.01,0.13,2018,Yes,Low,No,Yes
,,,,,,,,,,,,,,,,,,
